UniqueID2	UniqueID	Batch123	CageID	ALL	Batch2	Batch1	Batch3	RQ_48hours	RQ_24hours_1	RQ_24hours_2	RQ_5h_Day1	RQ_12h_Night1	RQ_12h_Day2	RQ_12h_Night2	RQ_7h_Day3	kcal_hr_48hours	kcal_hr_24hours_1	kcal_hr_24hours_2	kcal_hr_5h_Day1	kcal_hr_12h_Night1	kcal_hr_12h_Day2	kcal_hr_12h_Night2	kcal_hr_7h_Day3	food_48hours	food_24hours_1	food_24hours_2	food_5h_Day1	food_12h_Night1	food_12h_Day2	food_12h_Night2	food_7h_Day3	water_48hours	water_24hours_1	water_24hours_2	water_5h_Day1	water_12h_Night1	water_12h_Day2	water_12h_Night2	water_7h_Day3	xbreak_48hours	xbreak_24hours_1	xbreak_24hours_2	xbreak_5h_Day1	xbreak_12h_Night1	xbreak_12h_Day2	xbreak_12h_Night2	xbreak_7h_Day3	ybreak_48hours	ybreak_24hours_1	ybreak_24hours_2	ybreak_5h_Day1	ybreak_12h_Night1	ybreak_12h_Day2	ybreak_12h_Night2	ybreak_7h_Day3	zbreak_48hours	zbreak_24hours_1	zbreak_24hours_2	zbreak_5h_Day1	zbreak_12h_Night1	zbreak_12h_Day2	zbreak_12h_Night2	zbreak_7h_Day3	ped_m_48hours	ped_m_24hours_1	ped_m_24hours_2	ped_m_5h_Day1	ped_m_12h_Night1	ped_m_12h_Day2	ped_m_12h_Night2	ped_m_7h_Day3	all_m_48hours	all_m_24hours_1	all_m_24hours_2	all_m_5h_Day1	all_m_12h_Night1	all_m_12h_Day2	all_m_12h_Night2	all_m_7h_Day3	UniqueID2	BW_3w	fat_3w	lean_3w	F.water_3w	T.water_3w	BW_4w	fat_4w	lean_4w	F.water_4w	T.water_4w	BW_5w	BW_6w	fat_6w	lean_6w	F.water_6w	T.water_6w	BW_7w	BW_8w	fat_8w	lean_8w	F.water_8w	T.water_8w	BW_8w_final	TBL	TL	EL	HFL	BL	BMI	Small_Int_mm	Small_Int_g	Cecum_mm	Cecum_g	Large_int_mm	Large_int_g	Fat_pad
B6-001	Batch1_1	Batch1_GFBR	1	GFBR	NA	GFBR	NA	0.83425325	0.8484381	0.814621	0.8668158	0.87989095	0.7485648	0.87915035	0.7187213	0.4056018	0.4046928	0.4076111	0.4603448	0.4547735	0.33609005	0.519783	0.3244907	7.292953	2.700763	4.59219	0.5566011	2.1076049	0.666226	3.780039	0.182482	5.423141	2.76129	2.661851	0.5020153	2.0481227	0.477878	2.178595	0.21653	42855	27127	15728	8157	15946	5860.53	11309.34	1582.13	74892	38935	35957	11116.73	22595.27	12642.27	23817.46	4720.27	NA	NA	NA	NA	NA	NA	NA	NA	407.7355	218.7812	188.9543	47.16847	152.36073	56.0714	130.4397	21.6952	529.1072	285.3017	243.8055	66.83176	192.19134	74.5262	167.3279	28.23	B6-001	9.63	NA	NA	NA	NA	12.47	1.32	10.95	0.1	10.11	17.19	20.37	1.15	18.64	0	16.58	22.2	22.23	1.27	20.76	0.09	18.25	21.73	180	88	13	19	92	0.00257	313	1.11	30	0.62	70	0.39	0.19
B6-002	Batch1_2	Batch1_GFBR	2	GFBR	NA	GFBR	NA	0.83600765	0.8321943	0.8419138	0.8360127	0.8666913	0.7472572	0.88995825	0.7714985	0.4526357	0.4721187	0.4343251	0.4818563	0.5081942	0.37505995	0.5196312	0.3678117	8.455735	3.25769	5.198045	0.5213225	2.2920485	1.173253	3.348288	1.120823	9.646169	4.950105	4.696064	0.2598571	3.9958829	1.204292	3.653942	0.532195	33166	20184	12982	5292.133	11997.867	5039	8550	2287	64396	33692	30704	6944.2	19701.8	12554	18399.54	6796.46	31415	18229	13186	5108	11359	4043.07	9219.13	1685.8	412.5573	250.1762	162.3811	65.30371	149.69579	58.2074	109.68	29.6704	510.1524	302.6633	207.4891	76.41202	181.05398	75.3969	137.9345	39.355	B6-002	7.9	NA	NA	NA	NA	12.26	1.12	10.77	0	9.66	17.45	21.16	1.33	17.51	0.1	15.06	23.44	24.45	1.5	22.29	0.04	19.7	23.63	190	89	13	19.1	101	0.00232	338	1.25	35	0.72	66	0.39	0.12
B6-003	Batch1_3	Batch1_GFBR	3	GFBR	NA	GFBR	NA	0.8311645	0.8415948	0.8004947	0.8280903	0.90574865	0.7331785	0.89767315	0.6936797	0.41689635	0.4339164	0.3793462	0.4369537	0.49424145	0.33317525	0.494389	0.3432167	8.770873	4.085346	4.685527	0.5373002	3.0627468	1.479986	3.591803	0.099037	7.429938	3.965501	3.464437	0.05300718	3.72486382	0.425955	2.943619	0.282493	47326	29491	17835	8228.2	18403.8	4443.6	13287.4	2963	62261	36150	26111	8990.333	21246.137	9987.26	17020	5017.27	40688	23308	17380	6009.6	15526.4	4265.53	13836.67	1049.8	547.5441	349.3251	198.219	101.5059	223.575	41.358	159.5978	21.5074	645.6681	405.2842	240.3839	116.7889	256.0831	55.0711	189.3203	28.4047	B6-003	9.68	NA	NA	NA	NA	13.42	1.48	11.68	0.33	10.57	17.9	21.53	2.28	18.8	0.19	16.45	22.64	22.88	2.13	20.27	0.26	17.88	21.79	188	85	13	19.2	103	0.00205	330	1.13	26	0.59	67	0.43	0.14
B6-004	Batch1_4	Batch1_GFBR	4	GFBR	NA	GFBR	NA	0.80925485	0.8266097	0.7981366	0.7470313	0.888229	0.72373715	0.8895772	0.7062415	0.4411782	0.4530452	0.4287022	0.4411545	0.5083776	0.36748285	0.535769	0.3649218	8.009275	3.713099	4.296176	0.5826331	2.8548249	0.798133	3.366355	0.407329	7.381031	3.755034	3.625997	0.0100708	3.5090982	0.428298	3.215281	0.218283	30358	21080	9278	5361.2	14489.8	1928.33	7660.67	918	44245	26235	18010	7119.8	17064.2	4113.53	14306.47	1641	35013	17739	17274	3996	12722	2734	14256	1305	350.8315	206.1345	144.697	49.13816	138.49864	29.85	119.5635	13.7812	424.5386	248.1209	176.4177	59.89918	166.40012	35.8992	145.8241	16.516	B6-004	8.43	NA	NA	NA	NA	12.67	1.2	10.99	0.43	10.27	16.92	22.2	1.58	20.22	0.01	17.14	23.48	22.85	1.58	21.04	0.21	18.55	22.24	186	88	13	19	98	0.00232	304	1.24	30	0.74	65	0.36	0.22
B6-005	Batch1_9	Batch1_GFBR	9	GFBR	NA	GFBR	NA	0.8611542	0.8865099	0.8357464	0.8066295	0.9271097	0.78762515	0.90611805	0.7009832	0.4240905	0.4414244	0.4149396	0.4607178	0.488775	0.33330915	0.49910445	0.3495107	7.556532	4.874412	2.68212	1.339821	2.607231	1.080736	2.35117	0.177574	6.830835	3.627379	3.203456	0.278173	3.052812	0.436166	2.912156	0.151528	41614	26584	15030	8158.8	14726.2	5244	10748	2737	53565	32244	21321	8978	18860	7586.67	16113.33	2027	23704	12676	11028	3230	8296	2482	9110	586	422.666	264.3249	158.3411	62.45193	158.84047	63.6423	121.354	16.3773	525.2257	325.5287	199.697	80.82419	194.24161	76.9929	151.5312	21.6358	B6-005	10.56	NA	NA	NA	NA	14.32	1.58	12.43	0	11.45	19.35	21.12	1.88	18.16	0	16.4	21.74	23.71	2.49	21.05	0.22	18.64	24.55	190	88	13	19.4	102	0.00236	335	1.53	28	0.9	74	0.52	0.29
B6-006	Batch1_10	Batch1_GFBR	10	GFBR	NA	GFBR	NA	0.8090503	0.7964398	0.8202336	0.7795938	0.85583185	0.6880595	0.8831924	0.7156279	0.42684355	0.4333946	0.4182405	0.5085957	0.5186472	0.34056165	0.51448025	0.3400694	5.958418	2.277007	3.681411	1.029896	1.125974	0.62852	3.043673	0.130355	7.419102	3.41536	4.003742	0.5259088	2.7956172	0.519678	3.527152	0.050746	37344	24172	13172	6508.333	14179.597	4978.67	9203.4	2474	64493	36523	27970	9346.8	20209.2	11617.87	20044	3275.13	29059	15294	13765	4637.067	9694.263	3667.27	9941.4	1119	443.7013	285.1211	158.5802	77.16475	169.93735	60.2415	110.363	25.9947	548.5263	340.8244	207.7019	92.33469	201.07331	77.5494	145.6819	31.887	B6-006	8.34	NA	NA	NA	NA	12.31	1.19	10.73	0.03	9.8	17.97	21.26	1.77	18.21	0.15	15.85	22.25	24.41	1.72	22.46	0	18.46	24.97	188	89	13	19	99	0.00255	337	1.63	33	0.85	71	0.61	0.2
B6-007	Batch1_11	Batch1_GFBR	11	GFBR	NA	GFBR	NA	0.83966395	0.8519971	0.8101246	0.8418134	0.88751465	0.73832065	0.87906965	0.7087632	0.4699734	0.4871487	0.4200402	0.5005242	0.53611365	0.3527125	0.5292172	0.3526963	6.708077	3.475538	3.232539	0.3886829	2.6862981	0.747499	2.588627	0.29697	7.661687	3.956999	3.704688	0.3761907	3.2581493	0.719414	3.066263	0.24167	64718	38882	25836	11804.67	19971.33	11483	16523.27	4935.73	78386	44982	33404	12215.93	24664.07	14240	21082	6184	33085	18840	14245	4307	12581.47	4245.33	10298.73	1652.47	516.6078	312.6232	203.9846	85.32057	188.80003	65.8454	140.8255	35.8163	646.2001	387.5685	258.6316	106.9755	228.1545	89.4399	175.5022	46.128	B6-007	9.42	NA	NA	NA	NA	15.05	1.88	12.36	0.2	9.73	20.27	22.95	1.91	20.16	0.06	17.51	23.95	24.81	2.33	22.45	0.27	19.47	24.65	190	90	14	19.5	100	0.00247	307	1.37	32	0.83	72	0.48	0.31
B6-008	Batch1_12	Batch1_GFBR	12	GFBR	NA	GFBR	NA	0.8168437	0.8256038	0.8114189	0.8065174	0.8887334	0.7354956	0.90002515	0.7110378	0.4378939	0.4465378	0.4344537	0.4894571	0.52341775	0.3568254	0.5122898	0.3432824	7.082748	2.928101	4.154647	0.2640077	2.4743083	0.771812	3.209924	0.362696	9.299408	4.787576	4.511832	0.5117803	4.1808927	0.583475	3.686845	0.336415	27860	16580	11280	4623.067	9853.063	3787.27	8450.6	1146	61718	30459.07	31258.93	5812	19216	11128	21430	4132	26257	14282	11975	3050	10344.87	3029.73	8978.4	854	375.8086	217.2008	158.6078	57.79246	133.17804	50.9346	118.4581	15.4454	471.5454	265.9596	205.5858	68.05885	164.50225	67.117	151.0086	20.8587	B6-008	8.76	NA	NA	NA	NA	13.77	1.39	12.14	0.38	11.33	19.22	23.26	1.48	19.45	0.11	18.52	24.52	25.34	1.96	23.11	0.1	20.26	26.1	191	88	14	20	103	0.00246	287	1.58	31	1.03	72	0.52	0.19
B6-010	NA	Batch1_GFBR	NA	GFBR	NA	GFBR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	B6-010	6.25	NA	NA	NA	NA	9.96	1.02	8.69	0.15	8.12	15.59	19.8	1.48	17.6	0.12	14.87	20.66	21.85	1.16	20.73	0.17	18.01	21.72	180.5	84	11.5	19	96.5	0.00233	295	1.07	29	0.68	56	0.42	0.18
B6-011	NA	Batch1_GFBR	NA	GFBR	NA	GFBR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	B6-011	5.41	NA	NA	NA	NA	7.28	0.84	6.25	0.08	5.99	10.96	16.91	1.83	14.69	0.28	13.46	19.51	20.72	1.38	19.17	0.18	17.15	20.51	180	85	12	18.7	95	0.00227	225	1.16	23	0.61	55	0.35	0.17
