AnimalID	AnimalID_donor	Date_inoculated	Date_dissected	Doner_recipient_note	order	replicate	generation	TreatmentID	Treatment2	Batch	Cabinet	Promethion_cageID	BW_3_4w	BW_5_6w	Fat_EchoMRI	Lean_EchoMRI	F_water_EchoMRI	T_water_EchoMRI	Total_mm	Tail_mm	Body_mm	BMI	Note	PedMeters_ALL	PedMeters_Dark	PedMeters_Light	Dist_All_12d_PerDay_sum	Dist_Light_12d_PerDay_sum	Dist_Dark_12d_PerDay_sum	Dist_All_3d_PerDay_sum	Dist_Light_3d_PerDay_sum	Dist_Dark_3d_PerDay_sum	Dist_All_12d_sum	Dist_Light_12d_sum	Dist_Dark_12d_sum	Dist_All_3d_sum	Dist_Light_3d_sum	Dist_Dark_3d_sum	Loc_All_12d_PerDay_sum	Loc_Light_12d_PerDay_sum	Loc_Dark_12d_PerDay_sum	Loc_All_3d_PerDay_sum	Loc_Light_3d_PerDay_sum	Loc_Dark_3d_PerDay_sum	Loc_All_12d_sum	Loc_Light_12d_sum	Loc_Dark_12d_sum	Loc_All_3d_sum	Loc_Light_3d_sum	Loc_Dark_3d_sum	AnimalID_donor_activity	PedMeters_ALL_donor	PedMeters_Dark_donor	PedMeters_Light_donor	Dist_All_12d_PerDay_sum_donor	Dist_Light_12d_PerDay_sum_donor	Dist_Dark_12d_PerDay_sum_donor	PedMeters_ALL_Donor_Recipient_diff	Seq_ID	BrayC_PCoA1	BrayC_PCoA2	Experiment	Replicate_R	Generation	Generation_N	Treatments	Treatment2	Individual_ID	Sample_type	AnimalID	faith_pd	observed_features	shannon_entropy	Corticosterone	Cortisol	Histamine	Indolelactic_acid	Kynurenic_acid	Kynurenine	Serotonine	Thyroxine_T4	Tryptophan	y-Aminobutyric_acid_GABA
R1N1C001	TSU201	2020_09_15	2020_09_30	NA	1	R1	N1	Control	C_N1	R1_N1	Left	1	6.71	16.31	1.35	14.63	0.3	13.94	162	77	85	0.002257439	NA	137.7855	85.75116	47.78182	56.08648114	51.50972853	61.17203262	61.78539651	56.58545441	67.37083831	295.3109028	138.8974138	156.413489	185.3561895	84.72099979	100.6351897	197.0712592	148.5437374	248.1062904	293.6289982	215.2901886	373.6507133	1047.351629	400.552314	646.7993154	880.8869945	322.4867617	558.4002327	TSU201	626.9312	452.444	169.288082	NA	NA	NA	-489.1457	R1N1C001.c	0.139996881	0.22521781	selection	R1	1	N1	Control	N1_C	1	cecum	R1N1C001	363.3662598	2156	6.803308182	0.116897	0.025893	0.054009	0.131427	0.064646	0.165773	6.386831	0.033231	11.037299	0.344954
R1N1C003	TSU201	2020_09_15	2020_09_30	NA	3	R1	N1	Control	C_N1	R1_N1	Left	3	7.29	17.85	1.59	16.03	0.03	14.53	165	77	88	0.00230501	NA	194.0908	121.88824	61.57102	46.6402236	33.06976488	61.16683279	48.08089545	37.95144906	58.52447428	245.5737329	89.17353961	156.4001933	144.2426864	56.82175291	87.42093345	121.7154293	90.14116662	154.8934552	153.5810136	119.5237021	188.5024876	646.8667922	243.0681597	403.7986324	460.7430408	179.0365454	281.7064954	TSU201	626.9312	452.444	169.288082	NA	NA	NA	-432.8404	R1N1C003.c	-0.079768361	0.183383912	selection	R1	1	N1	Control	N1_C	3	cecum	R1N1C003	275.8019798	1789	6.770965193	0.402699	0.047688	0.072571	0.127484	0.06196	0.189377	2.673109	0.028757	10.529419	0.271275
R1N1C005	TSU201	2020_09_15	2020_09_30	R	5	R1	N1	Control	C_N1	R1_N1	Left	5	6.95	18.53	1.59	16.73	0	15.26	167	76.5	90.5	0.002262446	NA	143.281	92.0838	43.74351	60.85372844	38.01056596	85.22486188	58.07269317	31.36879954	85.18963398	320.4117841	102.496547	217.9152371	174.2180795	46.96606376	127.2520158	175.8850014	107.2005117	247.6793631	211.3463345	109.4210658	314.5887204	934.7554971	289.0691576	645.6863395	634.0390036	163.9036381	470.1353654	TSU201	626.9312	452.444	169.288082	NA	NA	NA	-483.6502	R1N1C005.c	-0.067330642	0.099243335	selection	R1	1	N1	Control	N1_C	5	cecum	R1N1C005	205.0554399	1482	6.955116189	0.196276	0.027077	0.070854	0.200036	0.045475	0.203017	4.20182	0.024185	9.306654	0.348396
R1N1C007	TSU201	2020_09_15	2020_09_30	NA	7	R1	N1	Control	C_N1	R1_N1	Left	7	7.11	18.35	1.52	16.77	0	15.06	170	75.5	94.5	0.002054814	NA	176.4672	92.95327	73.707	58.42497672	39.13863066	79.03391381	59.73695431	35.97446695	83.91570985	307.6237316	105.5384048	202.0853269	179.2108629	53.86177135	125.3490916	183.5235353	123.5415205	246.3489321	242.7969754	167.2528825	319.7576515	975.3511219	333.1331418	642.21798	728.3909262	250.5308803	477.8600459	TSU201	626.9312	452.444	169.288082	NA	NA	NA	-450.464	R1N1C007.c	-0.177081941	0.11554672	selection	R1	1	N1	Control	N1_C	7	cecum	R1N1C007	302.0232098	1965	6.812655602	0.143892	0.035094	0.07475	0.128734	0.047426	0.127821	1.779094	0.032435	9.32018	0.363314
R1N1C009	TSU201	2020_09_15	2020_09_30	r	9	R1	N1	Control	C_N1	R1_N1	Right	9	9.01	20.3	1.73	18.36	0.25	16.73	172	77	95	0.002249307	NA	257.3217	172.32533	71.9231	89.98182605	47.62604614	135.0652547	87.81912006	48.89700892	127.3624581	473.7793091	128.4249564	345.3543527	263.4573602	73.20968836	190.2476718	289.4965617	127.1430896	458.6629115	367.9661272	185.5670594	552.6698525	1538.553602	342.8448728	1195.708729	1103.898382	277.963991	825.9343907	TSU201	626.9312	452.444	169.288082	NA	NA	NA	-369.6095	R1N1C009.c	0.026659744	0.080326041	selection	R1	1	N1	Control	N1_C	9	cecum	R1N1C009	320.7817898	1950	6.785447901	0.044973	0.03444	0.057786	0.134802	0.030806	0.144233	6.94158	0.035728	9.498342	0.42606
R1N1C011	TSU201	2020_09_15	2020_09_30	NA	11	R1	N1	Control	C_N1	R1_N1	Right	11	6.49	15.7	1.42	14.38	0	13.19	165	72	93	0.001815239	NA	191.6231	121.83338	61.65901	58.15016596	36.02590841	81.75066703	60.86680007	28.32373358	93.85337365	306.1767766	97.14486273	209.0319139	182.6004002	42.40692333	140.1934769	104.6457155	65.08284731	146.0141088	117.882498	51.24991965	185.2724511	556.1483755	175.4977056	380.6506698	353.647494	76.76810881	276.8793852	TSU201	626.9312	452.444	169.288082	NA	NA	NA	-435.3081	R1N1C011.c	0.090511508	0.13444957	selection	R1	1	N1	Control	N1_C	11	cecum	R1N1C011	387.3243399	2317	7.003150438	0.192525	0.031599	0.059835	0.095955	0.072281	0.198571	3.165697	0.030888	10.532558	0.404079
R1N1C015	TSU201	2020_09_15	2020_09_30	NA	13	R1	N1	Control	C_N1	R1_N1	Right	13	7.78	18.96	1.76	17.28	0	15.49	168	74	94	0.002145767	NA	125.6289	68.79166	49.51895	75.19145805	55.15444509	96.66945264	85.49990741	55.31642851	116.2702836	395.9039131	148.7254932	247.1784199	256.4997222	82.82098603	173.6787362	186.5403736	133.6184915	242.0758861	231.606661	154.8121982	309.7634128	991.3843603	360.3059739	631.0783865	694.8199831	231.8957719	462.9242113	TSU201	626.9312	452.444	169.288082	NA	NA	NA	-501.3023	R1N1C015.c	-0.120737338	0.058131455	selection	R1	1	N1	Control	N1_C	15	cecum	R1N1C015	262.6205498	1797	7.089756387	0.110144	0.018183	0.052099	0.133328	0.050495	0.13987	5.220108	0.028031	9.068007	0.332742
R1N1T002	TSU201	2020_09_15	2020_09_30	NA	2	R1	N1	Selection	T_N1	R1_N1	Left	2	9.01	21.25	1.85	18.77	0.32	17.17	176	79.5	96.5	0.00228194	NA	330.003	216.35256	97.60265	70.75556208	49.32013342	93.68783097	76.21911332	54.03596575	98.91447112	372.5476887	132.9931098	239.5545789	228.65734	80.90384873	147.7534912	245.7451329	186.110641	308.4762608	309.5778515	237.1120203	383.7944659	1306.032988	501.8525131	804.1804744	928.7335545	355.174047	573.5595074	TSU201	626.9312	452.444	169.288082	NA	NA	NA	-296.9282	R1N1T002.c	-0.072368875	0.119275819	selection	R1	1	N1	Selection	N1_T	2	cecum	R1N1T002	247.7079798	1661	7.006233946	0.057571	0.00419	0.05567	0.191426	0.061255	0.147836	7.505284	0.028425	8.169805	0.28709
R1N1T004	TSU201	2020_09_15	2020_09_30	Selection	4	R1	N1	Selection	T_N1	R1_N1	Left	4	6.37	10.68	1.18	9.42	0.27	8.88	142	79	63	0.002690854	NA	94.01964	46.18765	40.41232	47.95006932	49.62607042	46.40396364	43.79093109	48.35534562	39.48056585	252.4704344	133.8180774	118.652357	131.3727933	72.39869802	58.97409524	95.24164619	103.4716362	87.13477752	95.00311805	106.0378101	84.42839849	506.1696655	279.0141413	227.1555242	285.0093541	158.8358031	126.1735511	TSU201	626.9312	452.444	169.288082	NA	NA	NA	-532.91156	R1N1T004.c	-0.091862915	-0.015664064	selection	R1	1	N1	Selection	N1_T	4	cecum	R1N1T004	177.3748299	1332	6.739483248	0.140631	0.010107	0.053981	0.137726	0.044155	0.118327	3.168542	0.032161	8.593014	0.264322
R1N1T006	TSU201	2020_09_15	2020_09_30	NA	6	R1	N1	Selection	T_N1	R1_N1	Left	6	7.62	17.86	1.62	16.25	0.05	14.62	171	76	95	0.001978947	NA	257.5259	161.5555	82.48542	92.74348936	58.90778096	128.8544875	88.71712722	67.04997449	110.970825	488.3202336	158.8464677	329.4737659	266.1513817	100.3887118	165.7626699	298.7395692	185.5415444	417.1007209	314.3037802	233.2052465	397.1973111	1587.676336	500.3179285	1087.358407	942.9113405	349.3220255	593.589315	TSU201	626.9312	452.444	169.288082	NA	NA	NA	-369.4053	R1N1T006.c	-0.127895215	0.025022482	selection	R1	1	N1	Selection	N1_T	6	cecum	R1N1T006	224.0215798	1553	7.008029291	0.164162	0.021167	0.058493	0.152234	0.034412	0.158713	2.170218	0.03587	10.5715	0.353735
