AnimalID	TreatmentID	replicate	generation	AnimalID_of_donor	Date_inoculated	Date_dissected	BWi34	Body_weight_at_dissection_g_5_6_weeks_old_	Fat_mass_g_	Lean_mass_g_	Water_mass_g_	Tail_length_mm_	Body_length_mm_	dist_trav	Post_QC_sequences	Batch	Generation_num	med_BM34	Generation_num_TreatmentID	Indolelactic_acid	Indoxylsulfate	Indole_3_propionic_acid	Cortisol	Tryptophan	Thyroxine_T4	Kynurenine	Serotonin	Corticosterone	Glutamic_acid	Kynurenic_acid	y_Aminobutyric_acid_GABA
R1N1C001	Control	R1	N0	TSU201	2020_09_15	2020_09_30	6.71	16.31	1.35	14.63	13.94	77	85	137.7855	4112221	R1_N1	0	7.225	0_Control	0.18496805534765	0.727488328711547	-0.0312492050453819	0.931516715299279	1.61203542506725	0.152199788894292	-0.523858201581202	0.830975486224795	0.574898822416098	-1.22096543770336	0.138820653963281	1.50614751554179
R1N1C003	Control	R1	N0	TSU201	2020_09_15	2020_09_30	7.29	17.85	1.59	16.03	14.53	77	88	194.0908	2825223	R1_N1	0	7.225	0_Control	0.297384374891429	0.209666465625529	-0.00806461496387991	1.61211592865879	0.807587335946978	0.184997552585502	1.92013349716196	-0.439900649445856	2.41863837548904	2.41634807325838	0.0823574721783491	0.649169967789664
R1N1C005	Control	R1	N0	TSU201	2020_09_15	2020_09_30	6.95	18.53	1.59	16.73	15.26	76.5	90.5	143.281	1471559	R1_N1	0	7.225	0_Control	1.64809914598494	0.335864801678989	3.04698792390387	1.53809442914313	-0.0648935782343627	-0.665158396943485	0.573881653633839	-0.771108026577324	1.69973770775745	0.809015139911091	-0.0565793923106662	1.35081085420342
R1N1C007	Control	R1	N0	TSU201	2020_09_15	2020_09_30	7.11	18.35	1.52	16.77	15.06	75.5	94.5	176.4672	3531263	R1_N1	0	7.225	0_Control	0.489401049132813	0.461200123165071	1.30330607429979	0.695839554023872	-0.435933622203414	-0.838242448719064	-0.169663084595507	-1.44686626675858	-0.0493611260166311	1.1831115308284	-0.0676231101341395	1.60461215877947
R1N1C009	Control	R1	N0	TSU201	2020_09_15	2020_09_30	9.01	20.3	1.73	18.36	16.73	77	95	257.3217	3131663	R1_N1	0	7.225	0_Control	-0.416778070307149	-0.503762447485577	0.0289954528806799	1.05025708399262	-0.00052411014204921	-0.486388528971951	-0.482239073512914	1.12731278736738	-0.618815608118023	-0.680775030976971	-0.188425498119633	2.23079731147261
R1N1C011	Control	R1	N0	TSU201	2020_09_15	2020_09_30	6.49	15.7	1.42	14.38	13.19	72	93	191.6231	4221777	R1_N1	0	7.225	0_Control	-0.730531431316887	-0.329164433296658	1.47670538164838	1.25119634064103	-0.581961614127448	-0.506991840454802	1.28918148897786	-1.0846070340237	0.545267129211569	0.772067678343762	0.20167937304111	2.5788074186211
R1N1C015	Control	R1	N0	TSU201	2020_09_15	2020_09_30	7.78	18.96	1.76	17.28	15.49	74	94	125.6289	2414141	R1_N1	0	7.225	0_Control	-0.271230514295469	-0.897588185034572	0.541115881990338	0.0321478152306013	-1.30483737605056	-0.258554488763187	-0.428580972157703	0.319720807397477	-0.302219505318905	0.0816969200476559	-0.0216600446219095	1.41511146398003
R1N1T002	Selection	R1	N0	TSU201	2020_09_15	2020_09_30	9.01	21.25	1.85	18.77	17.17	79.5	96.5	330.003	1946465	R1_N1	0	7.225	0_Selection	1.0560398275208	-0.19750444627951	1.66299218116006	-0.557096248347649	-0.575790029814609	1.01104025269925	-0.350629458048914	0.457182614389531	-0.418908486095505	-0.801386653271406	0.0798106691799374	0.596093650260024
R1N1T004	Selection	R1	N0	TSU201	2020_09_15	2020_09_30	6.37	10.68	1.18	9.42	8.88	79	63	94.01964	1398963	R1_N1	0	7.225	0_Selection	0.446389525172163	1.9212706022964	0.844445348922832	-0.429964748346757	-0.302528701163434	0.347876151524308	-0.145745700226709	-0.119799487727747	0.019964560257314	-0.536882293783617	-0.0646663110939488	0.645330340467058
R1N1T006	Selection	R1	N0	TSU201	2020_09_15	2020_09_30	7.62	17.86	1.62	16.25	14.62	76	95	257.5259	1689857	R1_N1	0	7.225	0_Selection	0.783842357675539	1.29036439048223	1.3596141816016	0.687457386126924	-0.783134139814467	-1.29632043780555	0.0752194956233862	-1.38313547080573	0.194297151263695	1.88370290433953	-0.163421896857284	1.67791251976142
