Sample	Read1	Read2	Notes	readpair_counts
BR_D_TSU050_201d	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_D_TSU050_201d/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_D_TSU050_201d/R2_final.fq.gz	NA	2894984
BR_D_TSU050_337d	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_D_TSU050_337d/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_D_TSU050_337d/R2_final.fq.gz	NA	1661636
BR_d_TSU060_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_d_TSU060_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_d_TSU060_8w/R2_final.fq.gz	NA	3198615
BR_d_TSU061_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_d_TSU061_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_d_TSU061_8w/R2_final.fq.gz	NA	11350417
BR_d_TSU064_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_d_TSU064_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_d_TSU064_8w/R2_final.fq.gz	NA	13605763
BR_d_TSU065_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_d_TSU065_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_d_TSU065_8w/R2_final.fq.gz	NA	12416204
BR_d_TSU066_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_d_TSU066_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_d_TSU066_8w/R2_final.fq.gz	NA	3265511
BR_d_TSU067_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_d_TSU067_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_d_TSU067_8w/R2_final.fq.gz	NA	2345538
BR_d_TSU068_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_d_TSU068_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_d_TSU068_8w/R2_final.fq.gz	NA	5188011
BR_d_TSU069_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_d_TSU069_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_d_TSU069_8w/R2_final.fq.gz	NA	3031956
