AnimalID	readpair_counts
R1N1C001	5869900
R1N1C003	4822005
R1N1C005	2580549
R1N1C007	5910690
R1N1C009	8158596
R1N1C011	6347697
R1N1C015	4741219
R1N1T002	4736005
R1N1T004	3343178
R1N1T006	6388516
R1N1T008	5004557
R1N1T010	10005148
R1N1T012	7560759
R1N1T016	1476620
R1N2C049	4358021
R1N2C051	5793577
R1N2C053	3531022
R1N2C055	4168722
R1N2C057	5387560
R1N2C059	2103490
R1N2C061	4890481
R1N2C063	1839317
R1N2T050	1349914
R1N2T052	6643179
R1N2T054	1399804
R1N2T056	4801459
R1N2T058	1424909
R1N2T060	1629534
R1N2T062	1264106
R1N2T064	1637694
R1N3C113	3460444
R1N3C115	4857609
R1N3C117	5106586
R1N3C119	7444557
R1N3C121	2840697
R1N3C123	2236463
R1N3C125	4093547
R1N3C127	808133
R1N3T114	5305807
R1N3T116	7201367
R1N3T118	3645779
R1N3T120	1481226
R1N3T122	2719694
R1N3T124	3270235
R1N3T126	1646636
R1N3T128	2733519
R1N4C177	1145066
R1N4C179	4382296
R1N4C181	3191227
R1N4C183	2406029
R1N4C185	3684774
R1N4C187	4335132
R1N4C189	3069036
R1N4C191	5945168
R1N4T178	1407502
R1N4T180	3887507
R1N4T182	3140623
R1N4T184	335241
R1N4T186	5909519
R1N4T188	5557006
R1N4T190	4184474
R1N4T192	2360573
R1N5C241	279250
R1N5C243	1163601
R1N5C245	669374
R1N5C247	1075838
R1N5C249	4185937
R1N5C251	4452544
R1N5C253	4427133
R1N5C255	4707260
R1N5T242	415279
R1N5T244	684353
R1N5T246	1090809
R1N5T248	287648
R1N5T250	1412034
R1N5T252	1299098
R1N5T254	3785584
R1N5T256	4034203
R2N1C017	5021491
R2N1C019	9180653
R2N1C021	1519725
R2N1C023	4531764
R2N1C025	6398019
R2N1C027	4336863
R2N1C029	4104642
R2N1C031	5799937
R2N1T018	5504001
R2N1T020	4822153
R2N1T022	4273933
R2N1T024	4203027
R2N1T026	5373495
R2N1T028	3985439
R2N1T030	1630780
R2N1T032	2329122
R2N2C081	2911655
R2N2C083	2015747
R2N2C085	1912737
R2N2C087	1689735
R2N2C089	3488182
R2N2C091	4542467
R2N2C093	1223796
R2N2T082	3288613
R2N2T084	2837792
R2N2T086	2792562
R2N2T088	3201520
R2N2T090	3787805
R2N2T092	4003708
R2N2T094	4314968
R2N2T096	3736659
R2N3C145	3063869
R2N3C147	2827560
R2N3C149	3525363
R2N3C151	935919
R2N3C153	2546401
R2N3C155	1880850
R2N3C157	4233323
R2N3C159	1799549
R2N3T146	3096757
R2N3T148	4254750
R2N3T150	955810
R2N3T152	1878121
R2N3T154	1354663
R2N3T156	1449098
R2N3T158	4147101
R2N4C209	2812777
R2N4C211	2390573
R2N4C213	853097
R2N4C215	1848093
R2N4C217	2956522
R2N4C219	1354638
R2N4C221	3542691
R2N4C223	2832684
R2N4T210	3812490
R2N4T212	2725960
R2N4T214	1403818
R2N4T216	2958670
R2N4T218	4364130
R2N4T220	3573758
R2N4T222	3494032
R2N4T224	3111405
R2N5C273	833066
R2N5C275	3585550
R2N5C277	2301260
R2N5C279	1532558
R2N5C281	2781281
R2N5C283	2060148
R2N5C285	3314115
R2N5C287	2560689
R2N5T274	3644221
R2N5T276	2897878
R2N5T278	2323368
R2N5T280	1626875
R2N5T282	495029
R2N5T284	2067308
R2N5T286	2248955
R2N5T288	1614927
R3N1C035	3925551
R3N1C037	6677041
R3N1C039	4512829
R3N1C041	6506444
R3N1C043	1259572
R3N1C045	1554366
R3N1C047	4195281
R3N1T034	3928896
R3N1T036	4275098
R3N1T038	1309257
R3N1T042	1464629
R3N1T044	1390624
R3N1T046	1284142
R3N1T048	1379673
R3N2C097	1891392
R3N2C099	916998
R3N2C101	684840
R3N2C103	1821127
R3N2C105	5496374
R3N2C107	3858825
R3N2C109	4314227
R3N2C111	3719636
R3N2T098	1426828
R3N2T102	4167911
R3N2T104	4662730
R3N2T106	4566741
R3N2T108	4417978
R3N2T110	3675075
R3N2T112	1911916
R3N3C161	3010831
R3N3C163	3240539
R3N3C165	4064967
R3N3C167	4562422
R3N3C169	1456327
R3N3C171	4848649
R3N3C173	4486874
R3N3C175	4446839
R3N3T162	3211170
R3N3T164	4083281
R3N3T166	2020224
R3N3T168	3213124
R3N3T170	1409342
R3N3T172	5134765
R3N3T174	1356116
R3N3T176	1299443
R3N4C225	4305326
R3N4C227	4490929
R3N4C229	1393021
R3N4C231	1454187
R3N4C233	1474488
R3N4C235	5164669
R3N4C237	3475111
R3N4C239	3362743
R3N4T226	8047576
R3N4T228	3910758
R3N4T232	3792419
R3N4T234	3681428
R3N4T236	3936060
R3N4T238	3307286
R3N4T240	3634668
R3N5C289	2863699
R3N5C291	3807496
R3N5C293	3190465
R3N5C295	2980237
R3N5C297	2741530
R3N5C299	3700469
R3N5C301	1226345
R3N5C303	1279880
R3N5T290	2248383
R3N5T292	2085476
R3N5T294	3018549
R3N5T296	3236478
R3N5T298	1430835
R3N5T300	1330382
R3N5T302	3763306
R3N5T304	3716532
R4N1C067	3640293
R4N1C069	4140964
R4N1C071	1589333
R4N1C073	1317222
R4N1C075	6700367
R4N1C077	4892131
R4N1C079	5280009
R4N1T066	2958925
R4N1T068	3253220
R4N1T070	3817941
R4N1T072	3036707
R4N1T074	6411559
R4N1T076	5036940
R4N1T078	1658442
R4N1T080	5805454
R4N2C129	3520085
R4N2C131	2305420
R4N2C133	4346778
R4N2C135	2359105
R4N2C137	1669516
R4N2C139	5656802
R4N2C141	1616731
R4N2C143	5697368
R4N2T130	2731922
R4N2T132	4054052
R4N2T134	4055396
R4N2T136	3624707
R4N2T138	5044782
R4N2T140	6091039
R4N2T142	1358035
R4N2T144	1623584
R4N3C193	3524172
R4N3C195	2406251
R4N3C197	2126878
R4N3C199	1236430
R4N3C201	1855778
R4N3C203	1579508
R4N3C205	1332145
R4N3T194	3071312
R4N3T196	2873637
R4N3T198	2418729
R4N3T200	1301486
R4N3T202	5243320
R4N3T204	1152227
R4N3T206	4400312
R4N3T208	4650465
R4N4C257	4150358
R4N4C259	5612152
R4N4C261	1372587
R4N4C263	3188058
R4N4C265	3707188
R4N4C267	4059002
R4N4C269	4788191
R4N4C271	4292163
R4N4T258	4607031
R4N4T260	1488454
R4N4T262	3003301
R4N4T264	4732265
R4N4T266	5257101
R4N4T268	6599834
R4N4T270	2946445
R4N4T272	3914439
R4N5C305	1078945
R4N5C307	2309558
R4N5C309	2686069
R4N5C311	2872864
R4N5C313	4063260
R4N5C315	4685534
R4N5C317	1337567
R4N5C319	3541563
R4N5T306	3556591
R4N5T308	3957734
R4N5T310	3219403
R4N5T312	885520
R4N5T314	1482264
R4N5T316	1674483
R4N5T318	4231682
R4N5T320	1523563
